CRASH_ID,VHCL_ID,PARTIC_ID,PARTIC_DSPLY_SEQ_NO,VHCL_CODED_SEQ_NO,PARTIC_VHCL_SEQ_NO,PARTIC_TYP_CD,PARTIC_TYP_SHORT_DESC,PARTIC_HIT_RUN_FLG,PUB_EMPL_FLG,SEX_CD,AGE_VAL,DRVR_LIC_STAT_CD,DRVR_LIC_STAT_SHORT_DESC,DRVR_RES_STAT_CD,DRVR_RES_SHORT_DESC,INJ_SVRTY_CD,INJ_SVRTY_SHORT_DESC,SFTY_EQUIP_USE_CD,SFTY_EQUIP_USE_SHORT_DESC,AIRBAG_DEPLOY_IND,MVMNT_CD,MVMNT_SHORT_DESC,CMPSS_DIR_FROM_CD,PARTIC_CMPSS_DIR_FROM_SHORT_DESC,CMPSS_DIR_TO_CD,PARTIC_CMPSS_DIR_TO_SHORT_DESC,NON_MOTRST_LOC_CD,NON_MOTRST_LOC_SHORT_DESC,ACTN_CD,ACTN_SHORT_DESC,PARTIC_ERR_1_CD,PARTIC_ERR_1_SHORT_DESC,PARTIC_ERR_2_CD,PARTIC_ERR_2_SHORT_DESC,PARTIC_ERR_3_CD,PARTIC_ERR_3_SHORT_DESC,PARTIC_CAUSE_1_CD,PARTIC_CAUSE_1_SHORT_DESC,PARTIC_CAUSE_2_CD,PARTIC_CAUSE_2_SHORT_DESC,PARTIC_CAUSE_3_CD,PARTIC_CAUSE_3_SHORT_DESC,PARTIC_EVNT_1_CD,PARTIC_EVNT_1_SHORT_DESC,PARTIC_EVNT_2_CD,PARTIC_EVNT_2_SHORT_DESC,PARTIC_EVNT_3_CD,BAC_VAL,ALCHL_USE_RPT_IND,DRUG_USE_RPT_IND,MJ_USE_RPT_IND,STRIKG_PARTIC_FLG
1775376,3346105,3810904,1,1,1,1,DRVR,0,0,2,72,2.0,OTH-Y,4.0,N-RES,1,KILL,0,NONE,0.0,,,,,,,,,0,NONE,20,DIS SGNL,4.0,L IN TRF,,,4,DIS SIG,,,,,,,,,,,9.0,9.0,9.0,0
1775376,3346106,3810905,2,2,1,1,DRVR,0,0,1,31,1.0,OR-Y,1.0,OR<25,9,NONE,2,BELT,0.0,,,,,,,,,0,NONE,0,NONE,,,,,0,NO CODE,,,,,,,,,,86.0,0.0,0.0,3.0,0
1776087,3347439,3812609,1,1,1,1,DRVR,1,0,9,0,9.0,UNK,9.0,UNK,9,NONE,9,UNK,,,,,,,,,,0,NONE,42,F/SLO MV,,,,,1,TOO-FAST,,,,,,,,,,,,,,0
1776087,3347440,3812610,2,2,1,1,DRVR,0,0,2,34,1.0,OR-Y,1.0,OR<25,4,INJC,2,BELT,0.0,,,,,,,,,0,NONE,0,NONE,,,,,0,NO CODE,,,,,,,,,,,0.0,0.0,3.0,0
1777280,3349711,3815439,1,1,1,1,DRVR,0,0,1,63,2.0,OTH-Y,4.0,N-RES,9,NONE,2,BELT,,,,,,,,,,38,DISTRACT,16,INATTENT,42.0,F/SLO MV,,,27,INATTENT,,,,,,,,,,,0.0,0.0,3.0,0
1777280,3349712,3815440,2,2,1,1,DRVR,0,0,1,50,1.0,OR-Y,1.0,OR<25,4,INJC,2,BELT,0.0,,,,,,,,,0,NONE,0,NONE,,,,,0,NO CODE,,,,,,,,,,,0.0,0.0,3.0,0
1777280,3349712,3815441,3,2,2,2,PSNG,0,0,1,10,,,,,4,INJC,2,BELT,0.0,,,,,,,,,0,NONE,0,NONE,,,,,0,NO CODE,,,,,,,,,,,,,,0
1777280,3349712,3815442,4,2,3,2,PSNG,0,0,2,12,,,,,4,INJC,2,BELT,0.0,,,,,,,,,0,NONE,0,NONE,,,,,0,NO CODE,,,,,,,,,,,,,,0
1777481,3350078,3815897,1,1,1,1,DRVR,0,0,1,24,3.0,SUSP,4.0,N-RES,9,NONE,2,BELT,,,,,,,,,,0,NONE,43,TOO CLOSE,,,,,7,TOO-CLOS,,,,,,,,,,,0.0,0.0,3.0,0
1777481,3350079,3815898,2,2,1,1,DRVR,0,0,2,24,2.0,OTH-Y,4.0,N-RES,4,INJC,2,BELT,,,,,,,,,,0,NONE,0,NONE,,,,,0,NO CODE,,,,,,,,,,,0.0,0.0,3.0,0
1777530,3350165,3816007,1,1,1,1,DRVR,0,0,2,66,1.0,OR-Y,1.0,OR<25,4,INJC,2,BELT,0.0,,,,,,,,,0,NONE,0,NONE,,,,,0,NO CODE,,,,,,,,,,,0.0,0.0,3.0,0
1777530,3350166,3816008,2,2,1,1,DRVR,1,0,9,0,9.0,UNK,9.0,UNK,9,NONE,9,UNK,,,,,,,,,,0,NONE,21,RAN STOP,,,,,3,PAS-STOP,,,,,,,,,,,0.0,0.0,3.0,0
